,,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,
"REGIÃO
NORTE",,310,274,959,881,13440,12982,14709,
,,,,,,,,,14137
,,,,,,,,,
,Braga,85,77,273,252,3708,3682,4066,4011
,Bragança,21,28,59,88,526,538,606,654
,Porto,146,111,481,400,7170,6727,7797,7238
,V. Castelo,32,29,55,56,1131,1153,1218,1238
,V. Real,26,29,91,85,905,882,1022,996
