,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Com capacete/cinto segurança,164,155,770,682,11535,10615,12469,11452
Com sistema retenção criança,4,7,40,34,968,1173,1012,1214
Sem capacete/cinto segurança,72,63,174,162,1656,1681,1902,1906
Sem sistema retenção criança,2,2,20,14,279,240,301,256
Total(1),254,232,1043,905,14825,13931,16122,15068
,,,,,,,,
