,Vítimas mortais,,Feridos graves,,,,,,M e FG por 100,
,,,,,Feridos leves,,Total de vítimas,,,
,(M),,(FG),,,,,,vítimas em 2005,
,,,,,,,,,,
,2004,,,,,,,,,
,,2005,2004,2005,2004,2005,2004,2005,M,FG
,,,,,,,,,,
Condutores,677,674,2381,2143,27145,25988,30203,28805,"2,3","7,4"
Passageiros,254,232,1043,905,14825,13931,16122,15068,"1,5","6,0"
Peões,204,188,766,714,5849,5568,6819,6470,"2,9","11,0"
Total,1135,1094,4190,3762,47819,45487,53144,50343,"2,2","7,5"
,,,,,,,,,,
