,,Vítimas mortais (M) por 100 000 habitantes,,,,,
,,45-49,50-54,55-59,60-64,>=65,Total (1)
,População(1),719523,675684,624715,543527,1790539,10529255
,M/100 000 hab,". 8,6","11,2","10,6","8,6","10,9","10,4"
