,,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,,
,,2004,2005,2004,2005,2004,2005,2004,2005
,"REGIÃO DE
LISBOA
E VALE TEJO",313,328,1593,1351,15803,14657,17709,16336
,Lisboa,126,136,821,766,9065,8597,10012,9499
,Santarém,91,91,431,313,2979,2713,3501,3117
,Setúbal,96,101,341,272,3759,3347,4196,3720
