,,,,,,,,,,,,,,
,Mortos,,,,,,,Feridos graves,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Peões,,,,,,Total,,,,,,,Total
,,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(1),,,,,,,(1)
REGIÃO,61,,,,,,,,,,,,,
NORTE,,108,3,32,51,9,274,188,392,12,116,136,30,881
,,,,,,,,,,,,,,
Braga,20,27,1,13,14,0,77,58,122,2,30,29,9,252
Bragança,6,9,2,1,6,0,28,13,48,3,6,13,2,88
Porto,27,34,0,14,28,8,111,96,147,4,67,73,13,400
V.Castelo,2,18,0,3,2,1,29,4,31,0,8,8,4,56
V.Real,6,20,0,1,1,0,29,17,44,3,5,13,2,85
