REGIÃO DO ALGARVE,"Acidentes
com vítimas",Mortos,"Feridos
graves",Feridos leves,Total vítimas
Faro,2386,74,303,2693,3070
Dentro Localidade,1142,11,93,1223,1327
Fora Localidade,1244,63,210,1470,1743
