,Vítimas mortais,,,,,,,
,,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Dia,139,123,615,472,9985,9132,10739,9727
Noite,100,99,385,394,4368,4361,4853,4854
Aurora ou crepúsculo,12,9,37,38,406,407,455,454
Total(1),254,232,1043,905,14825,13931,16122,15068
,,,,,,,,
