,2005,,,
REGIÕES AUTÓNOMAS,"Acidentes com e
sem vítimas",Mortos,Feridos graves,Feridos leves
Total,8700,40,270,1894
Madeira,4779,21,124,1076
Açores,3921,19,146,818
Equiparado Ponta Delgada a),2568,12,56,495
Equiparado Angra Heroísmo b),856,4,54,223
Equiparado da Horta c),497,3,36,100
