,,Vítimas mortais (M) por 100 000 habitantes,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44
,População(1),1647437,598736,728850,825210,817795,776922,780317
,M/100 000 hab,". 1,6","14,2","19,2","12,7","12,6","11,8","10,9"
