,Homens,,Mulheres,,
,,,,,Total
,,,,,
,,%,,%,
,,,,,
Até 24 anos,314491,"56,0",246600,"44,0",
,,,,,561.091
,,,,,
25-44 anos,1408850,"56,2",1096268,"43,8",
,,,,,2.505.118
,,,,,
45-64 anos,1038610,"68,3",481921,"31,7",
,,,,,1.520.531
,,,,,
65-74 anos,329824,"81,2",76567,"18,8",
,,,,,406.391
,,,,,
> 74 anos,207611,"88,5",26879,"11,5",
,,,,,234.490
,,,,,
Total,3.299.386,"63,1",1.928.235,"36,9",
,,,,,5.227.621
