,,2004,,,
REGIÕES AUTÓNOMAS,,"Acidentes com e
sem vítimas",Mortos,Feridos graves,Feridos leves
Total,,9622,56,273,1924
,Madeira,5756,21,126,1135
Açores,,3866,35,147,789
Equiparado Ponta Delgada a),,2535,19,76,529
,Equiparado Angra Heroísmo b),902,11,41,190
Equiparado da Horta c),,429,5,30,70
