,Madeira,Açores
,,
"De 0,00 a 0,29 g/l",2125,6424
,,
"De 0,30 a 0,49 g/l",65,142
,,
"De 0,50 a 0,79 g/l",29,115
,,
"De 0.80 a 1,19 g/l",46,129
,,
"Igual ou maior 1,20 g/l",92,238
,,
Recusa em fazer o teste,1,4
,,
Total de Infractores,168,
,,486
,,
Total de Fiscalizados,2358,
,,7052
,,
