,Homens,,Mulheres,,
,,,,,Total
,,,,,
,,%,,%,
,,,,,
2001,2.847.056,"64,8",1.543.675,"35,2",
,,,,,4390731
,,,,,
2002,2.987.562,"64,4",1.653.515,"35,6",
,,,,,4641077
,,,,,
2003,3.104.894,"63,9",1.755.093,"36,1",
,,,,,4859987
,,,,,
2004,3.219.213,"63,5",1.853.683,"36,5",
,,,,,5072896
,,,,,
2005,3.299.386,"63,1",1.928.235,"36,9",
,,,,,5227621
,,,,,
