,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,Ligeiro*,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(1),,,,,,,(1)
REGIÃO,,,,,,,,,10104,,,,,
LISBOA,2272,9235,387,917,1443,347,14657,2624,,429,1032,1681,396,16336
V. TEJO,,,,,,,,,,,,,,
Lisboa,1653,5137,231,407,990,160,8597,1897,5565,248,461,1130,176,9499
Santarém,197,1863,73,298,154,95,2713,238,2088,85,339,206,117,3117
Setúbal,422,2235,83,212,299,92,3347,489,2451,96,232,345,103,3720
