,,"Acidentes com
vítimas",,"Acidentes com mortos
e/ou f. graves",,"Acidentes com
mortos",,"Indice
de gravidade",
,,2004,2005,2004,2005,2004,2005,2004,2005
"REGIÃO
CENTRO",,11111,10728,1139,1038,332,287,"3,3","2,9"
,Aveiro,3172,3138,283,286,65,64,"2,2","2,1"
,C. Branco,685,689,111,116,31,25,"4,5","4,2"
,Coimbra,2281,2204,189,149,67,65,"3,2","3,3"
,Guarda,613,535,95,75,34,19,"6,2","3,6"
,Leiria,2747,2642,301,242,89,68,"3,6","2,7"
,Viseu,1613,1520,160,170,46,46,"3,2","3,3"
