REGIÃO DO ALGARVE,,Jan,,Mar,,Mai,,,,,,,,
,,,Fev,,Abr,,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,172,179,167,181,215,219,250,273,187,191,181,171,2386
,Acid.c/ mortos e f.graves,19,21,23,27,24,27,42,35,26,23,18,24,309
Faro,Acid.com mortos,6,5,5,6,5,7,7,3,7,4,5,6,66
,Mortos,6,5,5,7,8,8,7,3,9,4,5,7,74
,F.Graves,19,21,21,24,25,26,42,36,28,24,16,21,303
,F.Leves,202,209,189,194,235,232,289,325,217,216,208,177,2693
