,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Dentro das localidades,134,113,678,626,5555,5302,6367,6041
Arruamento,73,59,538,505,4799,4648,5410,5212
Estrada Nacional,48,42,96,89,521,442,665,573
Estrada Municipal,8,8,33,21,199,168,240,197
IC/IP,2,3,4,6,14,17,20,26
Outra Via(1),3,1,7,5,22,27,32,33
Fora das localidades,70,75,88,88,294,266,452,429
Auto-Estrada,6,8,5,8,24,12,35,28
Estrada Nacional,36,42,47,49,160,130,243,221
Estrada Municipal,16,7,23,20,84,96,123,123
IC/IP,11,17,12,11,23,17,46,45
Outra Via(1),1,1,1,,3,11,5,12
Total,204,188,766,714,5849,5568,6819,6470
Auto-Estrada,6,8,5,8,24,12,35,28
Arruamento,73,59,538,505,4799,4648,5410,5212
Estrada Nacional,84,84,143,138,681,572,908,794
Estrada Municipal,24,15,56,41,283,264,363,320
IC/IP,13,20,16,17,37,34,66,71
Outra Via(1),4,2,8,5,25,38,37,45
