,,,,,,,Total condutores,,Total condutores,
,Vítimas mortais,,Feridos graves,,Feridos leves,,,,,
,,,,,,,vítimas,,intervenientes,
,,,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005
Veíc. ligeiro,338,346,1210,1064,17291,16751,18839,18161,48832,46209
Veíc. pesado,22,21,52,41,490,499,564,561,2910,2798
Velocípedes,41,42,119,134,1223,1242,1383,1418,1447,1511
Ciclomotores,98,89,487,425,4598,4058,5183,4572,5601,4949
Motociclos,147,146,482,456,3352,3245,3981,3847,4345,4190
Outros(1),31,30,31,23,191,193,253,246,533,510
Total,677,674,2381,2143,27145,25988,30203,28805,63668,60167
