,,Infractores,Total de testes,"Inf./Test.
%"
,Segunda,254,9394,"2,7"
,Terça,226,9828,"2,3"
,Quarta,275,10503,"2,6"
,Quinta,391,10788,"3,6"
,Sexta,717,14524,"4,9"
,Sábado,1145,14510,"7,9"
,Domingo,898,9440,"9,5"
,Total,3906,78987,"4,9"
