,,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,2004,2005,2004,2005,2004,2005,2004,2005
"REGIÃO
ALENTEJO",,71,110,329,276,2178,1962,2578,2348
,Beja,31,38,109,89,773,751,913,878
,Évora,21,44,136,116,885,796,1042,956
,Portalegre,19,28,84,71,520,415,623,514
