,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Dentro das localidades(1),134,113,678,626,5555,5302,6367,6041
Dia,78,55,466,406,4128,4034,4672,4495
Noite,52,51,192,193,1267,1127,1511,1371
Aurora ou crepúsculo,4,7,19,25,114,108,137,140
Fora das localidades,70,75,88,88,294,266,452,429
Dia,22,27,35,35,176,168,233,230
Noite,45,44,47,51,114,89,206,184
Aurora ou crepúsculo,3,4,6,2,4,9,13,15
Total(1),204,188,766,714,5849,5568,6819,6470
Dia,100,82,501,441,4304,4202,4905,4725
Noite,97,95,239,244,1381,1216,1717,1555
Aurora ou crepúsculo,7,11,25,27,118,117,150,155
