,,,Feridos graves,,,,,
,Vítimas mortais,,,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
00-03,29,33,104,123,1013,1029,1146,1185
03-06,29,28,72,64,594,561,695,653
06-09,34,28,108,111,1433,1505,1575,1644
09-12,25,25,95,77,1895,1713,2015,1815
12-15,33,24,127,117,2398,2176,2558,2317
15-18,35,42,188,134,3197,2935,3420,3111
18-21,43,30,222,138,2698,2399,2963,2567
21-24,26,22,127,141,1597,1613,1750,1776
Total,254,232,1043,905,14825,13931,16122,15068
,,,,,,,,
