,,,,,,,Total condutores,,Total condutores,
,Vítimas mortais,,Feridos graves,,Feridos leves,,,,,
,,,,,,,vítimas,,intervenientes,
,,,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,
Adequada ao veiculo,556,561,1924,1744,24403,23462,26883,25767,58628,55491
Não adequada veic.,6,7,43,42,234,222,283,271,438,424
Em instrução/exame,0,1,1,3,16,21,17,25,27,32
Caducada/suspensa,3,4,12,6,74,59,89,69,118,98
Sem licença/carta,72,59,266,221,1185,1032,1523,1312,1883,1622
Não necessária,36,38,109,118,1158,1077,1303,1233,1367,1315
Não definido,4,4,26,9,75,115,105,128,1207,1185
Total,677,674,2381,2143,27145,25988,30203,28805,63668,60167
