,"Acidentes c/
vítimas",,,,,,,,,,,
,,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,,,,,,,,,,,,
,,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2004,,,,,,,,,,,
,,2005,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia,27111,25780,623,589,2574,2190,33351,31506,36548,34285,"2,3","2,3"
,,,,,,,,,,,,
Noite,10605,10103,456,448,1458,1423,12979,12581,14893,14452,"4,3","4,4"
,,,,,,,,,,,,
Aurora ou crep.,1029,1057,52,55,141,141,1269,1261,1462,1457,"5,1","5,2"
,,,,,,,,,,,,
Total(1),38930,37066,1135,1094,4190,3762,47819,45487,53144,50343,"2,9","3,0"
