,,"Acidentes com
vítimas",,"Acidentes com
mortos e/ou f. graves",,"Acidentes com
mortos",,,"Índice
de
Gravidade",
,,2004,2005,2004,2005,2004,,2005,2004,2005
,"REGIÃO
NORTE",10570,10105,1011,955,269,,248,"2,9","2,7"
,Braga,2902,2772,311,269,73,,68,"2,9","2,8"
,Bragança,411,447,65,94,21,,26,"5,1","6,3"
,Porto,5680,5378,476,434,123,,105,"2,6","2,1"
,V. Castelo,860,832,68,68,31,,27,"3,7","3,5"
,V. Real,717,676,91,90,21,,22,"3,6","4,3"
