,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=14,10,5,148,119,0,0,158,124
15-19,321,248,1061,1038,2,1,1384,1287
20-24,1058,1031,1808,1863,3,0,2869,2894
25-29,963,1029,1655,1722,0,0,2618,2751
30-34,990,1015,1664,1596,1,0,2655,2611
35-39,1044,942,1730,1747,3,0,2777,2689
40-44,1019,1001,1595,1645,1,0,2615,2646
45-49,863,868,1451,1368,1,0,2315,2236
50-54,731,765,1336,1412,0,0,2067,2177
55-59,545,577,1094,1146,2,0,1641,1723
60-64,386,398,964,999,0,0,1350,1397
65-69,242,251,836,897,1,0,1079,1148
70-74,148,185,731,704,0,0,879,889
>=75,143,123,1259,1340,1,0,1403,1463
N.D.,2,0,10,6,9,1,21,7
TOTAL,8465,8438,17342,17602,24,2,25831,26042
