,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=14,22,19,27,19,0,0,49,38
15-19,19,21,31,19,0,0,50,40
20-24,30,17,37,30,0,0,67,47
25-29,11,19,17,19,0,0,28,38
30-34,14,14,18,17,0,0,32,31
35-39,9,15,8,10,0,0,17,25
40-44,11,15,6,8,0,0,17,23
45-49,12,9,12,4,0,0,24,13
50-54,11,8,14,3,0,0,25,11
55-59,14,13,4,8,0,0,18,21
60-64,18,6,6,7,0,0,24,13
65-69,23,16,7,5,0,0,30,21
70-74,13,12,2,4,0,0,15,16
>=75,26,22,6,17,0,0,32,39
TOTAL,233,206,195,170,0,0,428,376
