,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=14,9,5,133,105,0,0,142,110
15-19,314,244,992,973,2,1,1308,1218
20-24,1036,1005,1681,1733,3,0,2720,2738
25-29,949,1006,1510,1591,0,0,2459,2597
30-34,977,1000,1533,1491,1,0,2511,2491
35-39,1024,926,1599,1623,3,0,2626,2549
40-44,993,983,1466,1521,1,0,2460,2504
45-49,836,846,1321,1259,1,0,2158,2105
50-54,706,743,1197,1299,0,0,1903,2042
55-59,524,565,999,1036,2,0,1525,1601
60-64,382,386,879,913,0,0,1261,1299
65-69,232,236,763,822,1,0,996,1058
70-74,139,178,680,640,0,0,819,818
>=75,138,114,1129,1223,1,0,1268,1337
N.D.,2,0,9,5,9,1,20,6
TOTAL,8261,8237,15891,16234,24,2,24176,24473
