,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=5,4,5,5,4,0,0,9,9
6-9,7,6,10,6,0,0,17,12
10-14,7,12,12,14,0,0,19,26
15-19,12,8,12,13,0,0,24,21
20-24,5,6,1,11,0,0,6,17
25-29,2,6,3,10,0,0,5,16
30-34,8,3,10,3,0,0,18,6
35-39,10,6,13,8,0,0,23,14
40-44,9,6,9,12,0,0,18,18
45-49,11,6,19,14,0,0,30,20
50-54,19,8,18,10,0,0,37,18
55-59,14,15,15,22,0,0,29,37
60-64,20,12,17,14,0,0,37,26
65-69,12,14,20,13,0,0,32,27
70-74,13,27,11,21,0,0,24,48
>=75,49,52,51,35,0,0,100,87
TOTAL,202,192,226,210,0,0,428,402
