,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65
População,1382547,527829,511855,523816,604676,721031,766699,717428,719727,671319,624599,2067654
VM/Milhão hab.,5,36,74,73,45,37,42,53,50,69,77,100
