,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=14,870,832,881,821,0,0,1751,1653
15-19,616,635,496,491,0,0,1112,1126
20-24,647,688,542,486,0,0,1189,1174
25-29,411,466,318,339,0,0,729,805
30-34,392,369,249,232,0,0,641,601
35-39,363,357,183,187,0,0,546,544
40-44,338,392,169,155,0,0,507,547
45-49,388,360,175,149,0,0,563,509
50-54,406,408,154,139,0,0,560,547
55-59,424,396,131,114,0,0,555,510
60-64,385,393,138,95,0,0,523,488
65-69,401,399,99,91,0,0,500,490
70-74,320,340,86,69,0,0,406,409
>=75,554,517,174,169,0,0,728,686
N.D.,6,0,3,0,0,0,9,0
TOTAL,6521,6552,3798,3537,0,0,10319,10089
