,,"Atropelamento
2015","Atropelamento
2016","Colisão
2015","Colisão
2016","Despiste
2015","Despiste
2016","Total
veículos (V)
2015","Total
veículos (V)
2016","Veículos
circulação
(Vci)","V/1000
Vci
2016"
Veíc. Ligeiros,Passageiros,3660,3667,22336,22989,5976,5887,31972,32543,0,0
,Mercadorias,831,872,5153,5294,1356,1269,7340,7435,0,0
,Outros,44,59,286,344,87,101,417,504,0,0
,N.D.,105,98,82,43,6,4,193,145,0,0
,Total,4640,4696,27857,28670,7425,7261,39922,40627,5391652,8
Veíc. Pesados,Passageiros,102,98,354,311,16,17,472,426,0,0
,Mercadorias,48,56,744,628,127,121,919,805,0,0
,Outros,19,20,158,219,40,51,217,290,0,0
,N.D.,1,0,5,1,0,0,6,1,0,0
,Total,170,174,1261,1159,183,189,1614,1522,127937,12
Velocípedes,,83,84,1477,1468,465,404,2025,1956,0,0
Ciclomotores,,77,74,1672,1555,1067,1032,2816,2661,0,0
Motociclos,,147,159,2740,2867,1578,1711,4465,4737,201544,24
Outros,,68,87,401,331,263,282,732,700,0,0
N.D.,,8,56,4,49,0,3,12,108,0,0
TOTAL,,5193,5330,35412,36099,10981,10882,51586,52311,0,0
