,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=14,844,812,851,800,0,0,1695,1612
15-19,593,611,459,469,0,0,1052,1080
20-24,616,669,501,449,0,0,1117,1118
25-29,400,445,298,315,0,0,698,760
30-34,376,352,227,210,0,0,603,562
35-39,350,341,174,177,0,0,524,518
40-44,326,377,159,144,0,0,485,521
45-49,373,349,160,142,0,0,533,491
50-54,393,398,136,133,0,0,529,531
55-59,408,381,125,105,0,0,533,486
60-64,363,383,127,83,0,0,490,466
65-69,375,377,92,84,0,0,467,461
70-74,301,323,83,64,0,0,384,387
>=75,525,480,163,148,0,0,688,628
N.D.,6,0,3,0,0,0,9,0
TOTAL,6249,6298,3558,3323,0,0,9807,9621
