,"Feminino
2015","Feminino
2016","Masculino
2015","Masculino
2016","N.D.
2015","N.D.
2016","Total
2015","Total
2016",População,"Total cond./
1000 hab."
<=14,12,6,155,128,0,0,167,134,1382547,0
15-19,439,353,1493,1385,4,1,1936,1739,527829,3
20-24,1610,1669,3424,3566,6,0,5040,5235,511855,10
25-29,1619,1695,3180,3342,2,0,4801,5037,523816,10
30-34,1756,1700,3366,3262,3,1,5125,4963,604676,8
35-39,1968,1857,3654,3670,7,0,5629,5527,721031,8
40-44,1910,1886,3502,3665,1,0,5413,5551,766699,7
45-49,1566,1574,3231,3209,3,0,4800,4783,717428,7
50-54,1270,1357,3015,3043,1,1,4286,4401,719727,6
55-59,912,1008,2630,2699,3,0,3545,3707,671319,6
60-64,658,676,2208,2261,2,0,2868,2937,624599,5
65-69,444,445,1789,1933,2,0,2235,2378,571809,4
70-74,262,334,1500,1493,0,0,1762,1827,480705,4
>=75,223,237,2266,2342,2,0,2491,2579,1015140,3
N.D.,9,7,34,53,1352,1453,1395,1513,0,0
TOTAL,14658,14804,35447,36051,1388,1456,51493,52311,0,0
