,<=4 anos,,5 a 9 anos,,10 a 14 anos,,15 a 19 anos,,>=20 anos,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016
Veíc. Ligeiros,4774,5110,8668,8159,9860,9325,10383,10852,5830,6872,407,309,39922,40627
Veíc. Pesados,187,213,472,395,455,372,295,337,184,195,21,10,1614,1522
Ciclomotores,423,390,1207,987,217,239,322,269,622,768,25,8,2816,2661
Motociclos,1513,1622,1081,1155,674,687,642,687,511,563,44,23,4465,4737
TOTAL,6897,7335,11428,10696,11206,10623,11642,12145,7147,8398,497,350,48817,49547
