,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=5,44,40,96,97,0,0,140,137
6-9,52,50,89,87,0,0,141,137
10-14,175,169,167,174,0,0,342,343
15-19,238,267,161,138,0,0,399,405
20-24,154,175,124,114,0,0,278,289
25-29,94,135,85,97,0,0,179,232
30-34,122,111,72,96,0,0,194,207
35-39,111,121,93,107,0,0,204,228
40-44,138,134,88,109,0,0,226,243
45-49,170,186,103,107,0,0,273,293
50-54,185,180,119,123,1,0,305,303
55-59,215,226,136,113,0,0,351,339
60-64,211,203,141,139,0,0,352,342
65-69,182,220,143,137,0,0,325,357
70-74,209,226,119,140,0,0,328,366
>=75,430,476,354,315,1,0,785,791
N.D.,1,0,2,0,0,0,3,0
TOTAL,2731,2919,2092,2093,2,0,4825,5012
