,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=14,1,0,13,12,0,0,14,12
15-19,7,2,57,56,0,0,64,58
20-24,19,24,106,105,0,0,125,129
25-29,12,20,113,105,0,0,125,125
30-34,11,14,108,87,0,0,119,101
35-39,16,14,102,102,0,0,118,116
40-44,25,16,98,103,0,0,123,119
45-49,26,16,99,87,0,0,125,103
50-54,21,19,109,94,0,0,130,113
55-59,16,12,74,77,0,0,90,89
60-64,2,9,56,60,0,0,58,69
65-69,6,11,56,44,0,0,62,55
70-74,6,4,36,46,0,0,42,50
>=75,4,9,92,73,0,0,96,82
N.D.,0,0,1,0,0,0,1,0
TOTAL,172,170,1120,1051,0,0,1292,1221
