,VÍTIMAS MORTAIS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=14,4,1,3,2,0,0,7,3
15-19,4,3,6,3,0,0,10,6
20-24,1,2,4,7,0,0,5,9
25-29,0,2,3,5,0,0,3,7
30-34,2,3,4,5,0,0,6,8
35-39,4,1,1,0,0,0,5,1
40-44,1,0,4,3,0,0,5,3
45-49,3,2,3,3,0,0,6,5
50-54,2,2,4,3,0,0,6,5
55-59,2,2,2,1,0,0,4,3
60-64,4,4,5,5,0,0,9,9
65-69,3,6,0,2,0,0,3,8
70-74,6,5,1,1,0,0,7,6
>=75,3,15,5,4,0,0,8,19
TOTAL,39,48,45,44,0,0,84,92
