,Feminino,Masculino,Total(1)
,2011 2012,2011 2012,2011 2012
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","52 34
0 0
3 0
8 2
7 3
3 6
1 3
2 2
7 6
8 2
3 5
4 1
2 3
2 0
2 1
0 0","479 406
3 2
17 13
35 28
42 39
51 43
44 42
31 33
33 32
36 36
41 39
27 15
30 22
32 24
57 34
0 4","531 442
3 2
20 13
43 30
49 42
54 49
45 45
33 36
40 38
44 38
44 44
31 16
32 25
34 24
59 36
0 4"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","174 151
3 3
14 3
23 18
19 15
20 18
19 22
13 14
20 16
16 14
9 10
11 5
2 4
1 5
4 4
0 0","1140 1000
12 12
70 57
129 115
137 113
114 114
126 109
101 78
117 83
73 71
67 58
59 46
42 47
36 41
57 56
0 0","1314 1152
15 15
84 60
152 133
156 128
134 132
145 131
114 92
137 99
89 85
76 68
70 51
44 51
37 47
61 60
0 0"
