,Feminino,Masculino,Total (1)
,2011 2012,2011 2012,2011 2012
"Vítimas mortais
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","79 66
1 2
2 0
1 1
2 0
1 2
0 3
0 1
0 0
1 3
2 2
3 3
7 4
7 4
9 4
8 9
35 28
0 0","120 93
3 0
0 1
4 0
1 1
2 2
4 2
1 5
10 5
3 3
11 4
10 10
9 6
8 12
7 6
9 5
38 30
0 1","199 159
4 2
2 1
5 1
3 1
3 4
4 5
1 6
10 5
4 6
13 6
13 13
16 10
15 16
16 10
17 14
73 58
0 1"
"Feridos Graves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","224 202
5 8
6 8
9 15
8 12
10 7
9 5
7 3
8 8
7 8
15 15
11 9
12 11
20 19
18 17
20 20
59 37
0 0","237 195
5 3
10 12
22 10
18 11
11 11
5 10
13 11
8 12
9 11
13 13
8 11
17 19
18 8
18 9
20 17
41 27
1 0","461 397
10 11
16 20
31 25
26 23
21 18
14 15
20 14
16 20
16 19
28 28
19 20
29 30
38 27
36 26
40 37
100 64
1 0"
