,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas,"V.mortais por
cada 100 vítimas"
,2011 2012,2011 2012,,,
"Condutores
Passageiros
Peões","531 442
161 117
199 159","1314 1152
489 392
462 397","23737 21951
10793 9524
5165 4689","25582 23545
11443 10033
5826 5245","2 2
1 1
3 3"
Total,891 718,2265 1941,39695 36164,42851 38823,2 2
