,Feminino,Masculino,Total(1)
,2011 2012,2011 2012,2011 2012
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","85 52
1 0
7 2
11 3
4 1
5 4
3 1
5 1
7 4
5 3
7 1
3 7
5 4
6 6
16 14
0 1","76 65
4 7
9 3
20 19
11 7
3 2
2 7
3 5
7 4
4 4
4 2
3 1
0 1
2 1
4 2
0 0","161 117
5 7
16 5
31 22
15 8
8 6
5 8
8 6
14 8
9 7
11 3
6 8
5 5
8 7
20 16
0 1"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","239 193
33 17
27 25
24 23
9 15
14 8
18 8
15 8
17 9
15 15
15 10
9 9
16 12
8 14
19 19
0 1","250 199
29 23
47 35
60 39
18 12
16 21
15 9
14 12
12 14
10 9
7 3
6 3
4 4
4 7
8 8
0 0","489 392
62 40
74 60
84 62
27 27
30 29
33 17
29 20
29 23
25 24
22 13
15 12
20 16
12 21
27 27
0 1"
