,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2011 2012,2011 2012,2011 2012,2011 2012
"Com capacete/cinto segurança
Sem capacete/cinto segurança
Isentos
Não definidos","395 339
50 37
73 58
13 8","1117 971
53 55
107 99
37 27","21631 20071
197 169
1460 1384
449 327","23143 21381
300 261
1640 1541
499 362"
Total,531 442,1314 1152,23737 21951,25582 23545
