,Feminino,Masculino,Total(1)
,2011 2012,2011 2012,2011 2012
"<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","31 27
481 416
1652 1578
1919 1571
2034 1818
2126 1901
1663 1587
1377 1329
1060 1011
738 760
514 531
305 303
161 149
132 138
10 9","181 156
1593 1404
3726 3251
3841 3330
4109 3543
4131 3772
3497 3339
3263 3050
2869 2716
2401 2369
2124 1880
1588 1504
1320 1303
1730 1676
39 44","212 183
2074 1820
5381 4832
5764 4904
6146 5366
6261 5678
5164 4934
4645 4380
3931 3736
3140 3134
2640 2413
1893 1809
1481 1454
1862 1816
1521 1327"
Total,14203 13128,36412 33337,52115 47786
