,Feminino,Masculino,Total(1)
,2010 2011,2010 2011,2010 2011
"Feridos leves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","2909 2618
61 60
79 73
218 198
257 241
174 144
108 107
129 88
139 116
154 128
158 163
164 178
176 176
194 213
190 173
221 162
486 396
1 2","2256 2071
105 112
144 101
254 195
143 142
100 100
90 64
104 92
118 85
127 109
122 127
108 129
136 118
133 124
124 117
117 144
328 306
3 6","5165 4689
166 172
223 174
472 393
400 383
274 244
198 171
233 180
257 201
281 237
280 290
272 307
312 294
327 337
314 290
338 306
814 702
4 8"
"Total de vítimas
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","3212 2886
67 70
87 81
228 214
267 253
185 153
117 115
136 92
147 124
162 139
175 180
178 190
195 191
221 236
217 194
249 191
580 461
1 2","2613 2359
113 115
154 114
280 205
162 154
113 113
99 76
118 108
136 102
139 123
146 144
126 150
162 143
159 144
149 132
146 166
407 363
4 7","5825 5245
180 185
241 195
508 419
429 407
298 266
216 191
254 200
283 226
301 262
321 324
304 340
357 334
380 380
366 326
395 357
987 824
5 9"
