,Feminino,Masculino,Total(1)
,2011 2012,2011 2012,2011 2012
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7829 7253
28 23
334 297
980 951
1103 889
1142 1018
1076 991
851 806
744 707
584 531
380 420
264 283
172 182
94 83
74 72
3 0","15891 14680
158 132
951 893
1741 1530
1723 1531
1819 1515
1758 1613
1400 1365
1325 1242
1127 1032
913 934
815 759
646 624
618 607
890 895
7 8","23737 21951
186 155
1285 1190
2722 2483
2828 2422
2962 2535
2836 2605
2252 2173
2070 1949
1712 1565
1293 1354
1080 1042
818 806
712 691
964 968
17 13"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","8055 7438
31 26
351 300
1011 971
1129 907
1165 1042
1096 1016
866 822
771 729
608 547
392 435
279 289
176 189
97 88
80 77
3 0","17510 16086
173 146
1038 963
1905 1673
1902 1683
1984 1672
1928 1764
1532 1476
1475 1357
1236 1139
1021 1031
901 820
718 693
686 672
1004 985
7 12","25582 23545
204 172
1389 1263
2917 2646
3033 2592
3150 2716
3026 2781
2399 2301
2247 2086
1845 1688
1413 1466
1181 1109
894 882
783 762
1084 1064
17 17"
