,"Acidentes c/
vítimas","Vítimas
mortais","Feridos
graves",Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2011 2012,2011 2012,2011 2012,2011 2012,2011 2012,2011 2012
"2ªFeira
3ªFeira
4ªFeira
5ªFeira
6ªFeira
Sábado
Domingo","4877 4417
4628 4229
4720 4308
4409 4424
5196 4650
4740 4181
3971 3658","119 97
121 88
93 87
122 78
128 107
172 122
136 139","300 264
251 236
283 274
305 254
355 266
419 318
352 329","5851 5294
5501 5045
5608 5069
5226 5215
6220 5571
6000 5202
5289 4768","6270 5655
5873 5369
5984 5430
5653 5547
6703 5944
6591 5642
5777 5236","2,4 2,2
2,6 2,1
2,0 2,0
2,8 1,8
2,5 2,3
3,6 2,9
3,4 3,8"
Total,32541 29867,891 718,2265 1941,39695 36164,42851 38823,"2,7 2,4"
