,"Acidentes c/
vítimas
2011 2012","Vítimas
mortais
2011 2012","Feridos
graves
2011 2012","Feridos leves
2011 2012","Total de
vítimas
2011 2012","Índice de
gravidade
2011 2012"
Autoestrada,2272 1747,84 58,141 115,3258 2392,3483 2565,"3,7 3,3"
"Est. Nacional
Dentro localidades
Fora localidades","7324 6719
3898 3642
3426 3077","308 239
115 105
193 134","694 575
274 257
420 318","9492 8688
5067 4682
4425 4006","10494 9502
5456 5044
5038 4458","4,2 3,6
3,0 2,9
5,6 4,4"
"IP/IC
Dentro localidades
Fora localidades","1134 1010
297 288
837 722","70 55
10 3
60 52","114 98
13 15
101 83","1531 1354
385 379
1146 975","1715 1507
408 397
1307 1110","6,2 5,4
3,4 1,0
7,2 7,2"
"Est. Municipal
Dentro localidades
Fora localidades","2077 1788
645 596
1432 1192","81 81
28 21
53 60","231 215
68 75
163 140","2447 2123
730 684
1717 1439","2759 2419
826 780
1933 1639","3,9 4,5
4,3 3,5
3,7 5,0"
Arruamentos,19086 17865,322 257,1028 880,22155 20729,23505 21866,"1,7 1,4"
"Outras (1)
Dentro localidades
Fora localidades","648 738
288 384
360 354","26 28
12 11
14 17","57 58
21 24
36 34","812 878
356 455
456 423","895 964
389 490
506 474","4,0 3,8
4,2 2,9
3,9 4,8"
"Total
Dentro localidades
Fora localidades","32541 29867
24214 22775
8327 7092","891 718
487 397
404 321","2265 1941
1404 1251
861 690","39695 36164
28693 26929
11002 9235","42851 38823
30584 28577
12267 10246","2,7 2,4
2,0 1,7
4,9 4,5"
