,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2011 2012,2011 2012,2011 2012,2011 2012
"Dentro das localidades(1)
A sair ou entrar num veículo
Atravessamento em passagem sinalizada
Atrav. passag. sinalizada c/ desrespeito
sinal. Semafórica
Atrav. fora passagem peões a mais de
50m de passag. ou qd não exista passag
Atrav. fora passagem peões a menos de
50m de passagem
Em ilhéu ou refúgio na via
Em plena faixa de rodagem
Em trabalhos na via
Surgindo inesperadamente faixa rodagem
Transitando pela berma ou passeio
Transitando pela direita faixa de rodagem
Transitando pela esquerda faixa rodagem","166 121
2 2
26 21
3 3
20 16
29 22
0 1
39 23
3 0
14 10
12 12
6 6
3 3","420 363
12 5
129 102
10 11
53 40
52 59
4 3
55 46
2 1
30 22
38 45
19 8
6 9","5045 4600
105 73
2003 1890
110 106
487 376
607 526
54 65
529 494
33 23
373 332
399 428
157 138
64 66","5631 5084
119 80
2158 2013
123 120
560 432
688 607
58 69
623 563
38 24
417 364
449 485
182 152
73 78"
"Fora das localidades(1)
A sair ou entrar num veículo
Atravessamento em passagem sinalizada
Atrav. passag. sinalizada c/ desrespeito
sinal. semafórica
Atrav. fora passagem peões a mais de
50m de passag. ou qd não exista passag
Atrav. fora passagem peões a menos de
50m de passagem
Em ilhéu ou refúgio na via
Em plena faixa de rodagem
Em trabalhos na via
Surgindo inesperadamente faixa rodagem
Transitando pela berma ou passeio
Transitando pela direita faixa de rodagem
Transitando pela esquerda faixa rodagem","33 38
0 0
0 1
0 0
3 1
1 1
0 0
17 16
2 1
2 4
4 3
3 2
1 1","42 34
4 2
2 0
0 1
2 1
2 1
0 0
14 11
1 1
6 3
6 7
4 1
1 1","120 89
6 4
9 6
0 1
12 0
5 0
0 2
24 18
11 2
14 10
24 27
7 6
7 6","195 161
10 6
11 7
0 2
17 2
8 2
0 2
55 45
14 4
22 17
34 37
14 9
9 8"
"Total(1)
A sair ou entrar num veículo
Atravessamento em passagem sinalizada
Atrav. passag. sinalizada c/ desrespeito
sinal. semafórica
Atrav. fora passagem peões a mais de
50m de passag. ou qd não exista passag
Atrav. fora passagem peões a menos de
50m de passagem
Em ilhéu ou refúgio na via
Em plena faixa de rodagem
Em trabalhos na via
Surgindo inesperadamente faixa rodagem
Transitando pela berma ou passeio
Transitando pela direita faixa de rodagem
Transitando pela esquerda faixa rodagem","199 159
2 2
26 22
3 3
23 17
30 23
0 1
56 39
5 1
16 14
16 15
9 8
4 4","462 397
16 7
131 102
10 12
55 41
54 60
4 3
69 57
3 2
36 25
44 52
23 9
7 10","5165 4689
111 77
2012 1896
110 107
499 376
612 526
54 67
553 512
44 25
387 342
423 455
164 144
71 72","5826 5245
129 86
2169 2020
123 122
577 434
696 609
58 71
678 608
52 28
439 381
483 522
196 161
82 86"
