,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2011 2012,2011 2012,2011 2012,2011 2012,2011 2012
"< 1 ano
1 a 5 anos
6 a 10 anos
11 a 20 anos
>= 20 anos
Não definido","16 11
95 81
57 39
120 105
162 129
14 10","43 36
308 271
181 135
300 262
279 270
44 50","1011 1041
6425 5928
3682 3208
5824 5293
4411 4321
638 526","1070 1088
6828 6280
3920 3382
6244 5660
4852 4720
696 586","2052 2127
14057 13082
8265 7041
12482 11272
9879 9531
3191 2709"
Total(1),464 375,1155 1024,21991 20317,23610 21716,49926 45762
