,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2011 2012,2011 2012,2011 2012,2011 2012
"Dentro das localidades
Dia
Noite
Aurora ou crepúsculo
Não definido","166 121
95 66
61 52
10 3
0 0","420 363
267 235
140 115
11 12
2 1","5045 4600
3631 3280
1227 1157
164 145
23 18","5631 5084
3993 7479
1428 2691
185 335
25 44"
"Fora das localidades
Dia
Noite
Aurora ou crepúsculo
Não definido","33 38
12 13
18 25
3 0
0 0","42 34
20 14
21 18
1 2
0 0","120 89
85 50
34 34
1 5
0 0","195 323
117 182
73 132
5 9
0 0"
"Total
Dia
Noite
Aurora ou crepúsculo
Não definido","199 159
107 79
79 77
13 3
166 121","462 397
287 249
161 133
12 14
420 363","5165 4689
3716 3330
1261 1191
165 150
5045 4600","5826 10872
4110 7661
1501 2823
190 344
5631 5084"
