,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2011 2012,2011 2012,2011 2012,2011 2012,2011 2012
"Aut. ligeiro
Aut. pesado
Velocípedes
Ciclomotores
Motociclos
Outros(1)","262 205
12 14
45 30
66 56
114 99
32 37","660 577
30 19
79 74
218 143
295 268
32 71","15913 14527
330 272
1340 1222
2745 2291
3249 3079
160 557","16835 15309
372 305
1464 1326
3029 2490
3658 3446
224 665","41121 37530
1889 1632
1531 1396
3257 2645
3870 3660
447 912"
Total,531 442,1314 1152,23737 21951,25582 23545,52115 47786
