,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2011 2012,2011 2012,2011 2012,2011 2012
"Dentro das localidades
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
Domingo","166 121
24 11
28 14
22 17
21 22
27 25
31 18
13 14","420 363
79 51
57 53
67 52
56 57
63 54
64 55
34 41","5045 4600
810 763
811 699
822 712
728 789
889 782
576 483
409 372","5631 5084
913 825
896 766
911 781
805 868
979 861
671 556
456 427"
"Fora das localidades
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
Domingo","33 38
6 10
4 6
3 7
6 2
4 1
6 7
4 5","42 34
4 8
5 6
2 5
10 6
11 3
7 3
3 3","120 89
14 21
14 13
18 14
21 13
26 13
14 7
13 8","195 161
24 39
23 25
23 26
37 21
41 17
27 17
20 16"
"Total
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
Domingo","199 159
30 21
32 20
25 24
27 24
31 26
37 25
17 19","462 397
83 59
62 59
69 57
66 63
74 57
71 58
37 44","5165 4689
824 784
825 712
840 726
749 802
915 795
590 490
422 380","5826 5245
937 864
919 791
934 807
842 889
1020 878
698 573
476 443"
