,"Acidentes c/
vítimas","Vítimas
mortais",Feridos graves,Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2011 2012,2011 2012,2011 2012,2011 2012,2011 2012,2011 2012
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","2560 2446
2581 2237
2565 2376
2691 2222
2656 2421
2693 2445
2871 2711
2915 2675
2683 2472
2977 2691
2669 2545
2680 2626","84 57
65 60
69 52
60 53
68 66
64 72
74 71
98 58
66 63
94 61
71 48
78 57","146 147
157 147
159 156
208 137
176 172
197 170
205 185
223 208
202 153
211 164
180 135
201 167","3072 2917
3089 2627
3089 2858
3343 2714
3224 2877
3311 2882
3547 3352
3713 3412
3284 3049
3539 3186
3181 3094
3303 3196","3302 3121
3311 2834
3317 3066
3611 2904
3468 3115
3572 3124
3826 3608
4034 3678
3552 3265
3844 3411
3432 3277
3582 3420","3,3 2,3
2,5 2,7
2,7 2,2
2,2 2,4
2,6 2,7
2,4 2,9
2,6 2,6
3,4 2,2
2,5 2,5
3,2 2,3
2,7 1,9
2,9 2,2"
Total,32541 29867,891 718,2265 1941,39695 36164,42851 38823,"2,7 2,4"
