,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2011 2012,2011 2012,2011 2012,2011 2012
"00-03
03-06
06-09
09-12
12-15
15-18
18-21
21-24","13 19
24 14
20 16
18 10
24 8
25 18
25 27
12 5","47 34
50 37
63 42
52 45
49 52
89 79
79 65
60 38","663 443
416 354
1087 955
1504 1383
1744 1556
2350 2126
2016 1788
1013 919","710 496
466 405
1150 1013
1556 1438
1793 1616
2439 2223
2095 1880
1073 962"
Total,161 117,489 392,10793 9524,11443 10033
