,Feminino,Masculino,Total(1)
,2011 2012,2011 2012,2011 2012
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","6668 5953
904 776
688 595
713 627
524 422
423 373
387 312
379 311
389 382
394 399
350 356
394 373
339 340
297 290
455 381
32 16","4118 3554
846 802
596 477
589 495
421 326
305 238
274 227
204 189
202 154
152 157
134 118
94 88
82 82
71 61
122 132
26 8","10786 9507
1750 1578
1284 1072
1302 1122
945 748
728 611
661 539
583 500
591 536
546 556
484 474
488 461
421 422
368 351
577 513
58 24"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","6992 6198
938 793
722 622
748 653
537 438
442 385
408 321
399 320
413 395
414 417
372 367
406 389
360 356
311 310
490 414
32 18","4444 3818
879 832
652 515
669 553
450 345
324 261
291 243
221 206
221 172
166 170
145 123
103 92
86 87
77 69
134 142
26 8","11436 10016
1817 1625
1374 1137
1417 1206
987 783
766 646
699 564
620 526
634 567
580 587
517 490
509 481
446 443
388 379
624 556
58 26"
