,,1998,,,,1999,,,,Inspec.
,,Inspecções,Aprovados,Reprovados,,Inspecções,Aprovados,Reprovados,,"99/98
%"
,,,,,%,,,,%,
Janeiro,,245.200,222.729,22.471,"9,2",270.400,237.021,33.379,"12,3","10,3"
Fevereiro,,222.524,200.649,21.875,"9,8",250.420,219.129,31.291,"12,5","12,5"
Março,,277.300,248.725,28.575,"10,3",306.206,266.797,39.409,"12,9","10,4"
Abril,,266.771,238.649,28.122,"10,5",278.841,236.109,42.732,"15,3","4,5"
Maio,,259.903,232.436,27.467,"10,6",284.855,239.865,44.990,"15,8","9,6"
Junho,,245.164,218.888,26.276,"10,7",281.216,236.885,44.331,"15,8","14,7"
Julho,,273.264,243.744,29.520,"10,8",317.743,262.882,54.861,"17,3","16,3"
Agosto,,206.858,179.136,27.722,"13,4",259.443,213.438,46.005,"17,7","25,4"
Setembro,,202.068,177.248,24.820,"12,3",233.141,195.989,37.152,"15,9","15,4"
Outubro,,216.425,189.024,27.401,"12,7",255.165,214.417,40.748,"16,0","17,9"
Novembro,,211.570,184.602,26.968,"12,7",269.443,227.084,42.359,"15,7","27,4"
Dezembro,,227.854,199.301,28.553,"12,5",275.925,233.053,42.872,"15,5","21,1"
Total,,2.854.901,2.535.131,319.770,"11,2",3.282.798,2.782.669,500.129,"15,2","15,0"
