,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Atravessamento na passadeira,34,29,-5,342,308,-34,1585,1463,-122
,,,,,,,,,
Atravessamento fora passadeira,104,120,16,571,559,-12,1891,2202,311
,,,,,,,,,
Em plena faixa rodagem,49,101,52,151,335,184,504,1555,1051
,,,,,,,,,
Outras,65,92,27,195,317,122,1043,1560,517
,,,,,,,,,
Não definido,104,3,-101,452,18,-434,1962,65,-1897
,,,,,,,,,
