,Acidentes com,Acidentes,Acidentes,,,
,vítimas,com mortos,com mortos,Mortos,Feridos,Feridos leves
,,e/ou f. graves,,,graves,
REGIÃO ALENTEJO,2380,528,135,154,574,2747
,,,,,,
Dentro Localidade,857,154,18,18,165,881
Fora Localidade,1523,374,117,136,409,1866
Beja,835,168,54,64,166,1004
Dentro Localidade,234,39,6,6,37,259
Fora Localidade,601,129,48,58,129,745
Évora,941,218,46,52,244,1080
Dentro Localidade,364,60,5,5,71,363
Fora Localidade,577,158,41,47,173,717
Portalegre,604,142,35,38,164,663
Dentro Localidade,259,55,7,7,57,259
Fora Localidade,345,87,28,31,107,404
