,Homens,,Mulheres,,Total
,,%,,%,
1995,2.071.064,"69,71",900.071,"30,29",
1996,2.177.743,"68,49",1.002.009,"31,51",
1997,2.272.246,"67,42",1.098.198,"32,58",
1998,2.361.682,"66,51",1.189.018,"33,49",
1999,2.539.881,"66,01",1.308.117,"33,99",
