,,Grupos etários,,,,,,,,,,
,,<=14,15-17,18-20,21-24,25-29,30-34,35-49,50-64,>=65,"Não
def.",Total
,1998,517,2162,5728,9018,8972,6983,15646,8609,3548,1243,62426
Colisão,1999,511,1092,4728,8505,8902,6945,15400,8449,3616,1972,60120
,99/98,-6,-1070,-1000,-513,-70,-38,-246,-160,68,729,-2306
,1998,46,280,1397,2121,1967,1373,2698,1237,540,267,11926
Despiste,1999,62,187,1165,2152,2123,1445,2934,1296,571,613,12548
,99/98,16,-93,-232,31,156,72,236,59,31,346,622
,1998,23,193,715,1255,1311,962,2046,1053,332,538,8428
Atropelamento,1999,31,95,569,1194,1193,887,2008,1068,345,370,7760
,99/98,8,-98,-146,-61,-118,-75,-38,15,13,-168,-668
,1998,5,19,43,71,64,74,176,100,31,121,704
Não definidos,1999,__,__,__,__,__,__,__,__,__,__,__
,99/98,__,__,__,__,__,__,__,__,__,__,__
,1998,591,2654,7883,12465,12314,9392,20566,10999,4451,2169,83484
Total,1999,604,1374,6462,11851,12218,9277,20342,10813,4532,2955,80428
,99/98,13,-1280,-1421,-614,-96,-115,-224,-186,81,786,-3056
