,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos Graves,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
00 - 06,5865,4788,-1077,418,332,-86,1382,1103,-279
,,,,,,,,,
06 - 12,12895,11135,-1760,387,388,1,1919,1581,-338
,,,,,,,,,
12 - 18,19074,17140,-1934,585,450,-135,2845,2452,-393
,,,,,,,,,
18 - 24,11485,14903,3418,475,580,105,2031,2561,530
,,,,,,,,,
