,Início,Fim,1998,1999,"99/98
%"
A1,Alverca,Grijó,3550,3803,"7,13"
A2,Fogueteiro,Grândola Sul,816,893,"9,44"
A3,Maia,Valença,689,756,"9,72"
A4,Ermesinde,Amarante,505,556,"10,10"
A5,Estádio Nacional,Cascais,782,831,"6,27"
A6,Marateca,Elvas,170,223,"31,18"
A7,Famalicão,Guimarães,81,91,"12,35"
A8,Loures,Bombarral,346,374*,"116,18"
A9,Queluz,Alverca,450,459,"2,00"
A12,Setúbal,Montijo,144,170,"18,06"
Total,,,7533,8156,"13,24"
